        target addrress,              CountSeen,       CountLoopInvoked,              MeanTaken,              DiffCount,           routine name,        routine address,routine invocations count
                     0x7fa42934e58b,                      1,                      1,                      1,                      0,                 fdopen,           7fa42934e490,                      1
                     0x7fa42935b943,                      1,                      1,                      1,                      0,        _IO_file_xsputn,           7fa42935b8d0,                      1
                     0x7fa4296d2e0a,                      1,                      1,                      1,                      0,               __open64,           7fa4296d2dd0,                      1
                     0x7fa429400728,                      1,                      1,                      1,                      0,      __register_atfork,           7fa429400680,                      1
                     0x7fa43e4294f4,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa42935e098,                      1,                      1,                      1,                      0,                __uflow,           7fa42935e080,                      0
                     0x7fa42935cf3b,                      1,                      1,                      1,                      0,           _IO_do_write,           7fa42935ce50,                      3
                     0x7fa42935df09,                      1,                      1,                      1,                      0,            __underflow,           7fa42935deb0,                      0
                     0x7fa42935d2da,                      1,                      1,                      1,                      0,      _IO_file_overflow,           7fa42935d2b0,                      0
                     0x7fa42935d2da,                      1,                      1,                      1,                      0,      _IO_file_overflow,           7fa42935d2b0,                      0
                     0x7fa43e4294f4,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x4185d0,                      1,                      1,                      1,                      0,        __libc_csu_init,                 418580,                      1
                     0x7fa4294006e0,                      1,                      1,                      1,                      0,      __register_atfork,           7fa429400680,                      1
                     0x7fa4293b6a10,                      1,                      1,                      1,                      0,              __sysconf,           7fa4293b6930,                      1
                     0x7fa43e42635a,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa4293e059a,                      1,                      1,                      1,                      0,                __fcntl,           7fa4293e0550,                      1
                     0x7fa42934e4c3,                      1,                      1,                      1,                      0,                 fdopen,           7fa42934e490,                      1
                     0x7fa43e425fb0,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e425fb0,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa42934e4c6,                      1,                      1,                      1,                      0,                 fdopen,           7fa42934e490,                      1
                     0x7fa43e42641e,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa4292f1a46,                      1,                      1,                      1,                      0,                  _init,           7fa4292f1a10,                      1
                     0x7fa43e426367,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x408266,                      1,                      1,                      1,                      0,     BZ2_bzWriteClose64,                 408127,                      1
                     0x7fa42935e410,                      1,                      1,                      1,                      0,     _IO_default_xsputn,           7fa42935e3d0,                      1
                     0x7fa43e42c4fd,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa43e4272a0,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa4292f15ae,                      1,                      1,                      1,                      0,                  .text,           7fa4292f1360,                      3
                     0x7fa42935b158,                      1,                      1,                      1,                      0,         _IO_file_write,           7fa42935b130,                      1
                     0x7fa42934e4c3,                      1,                      1,                      1,                      0,                 fdopen,           7fa42934e490,                      1
                     0x7fa42994d480,                      1,                      1,                      1,                      0,                  .text,           7fa42994c3e0,                      3
                     0x7fa42994d66b,                      1,                      1,                      1,                      0,                  .text,           7fa42994c3e0,                      3
                     0x7fa4293e61b3,                      1,                      1,                      1,                      0,                   sbrk,           7fa4293e6160,                      2
                     0x7fa42935e41c,                      1,                      1,                      1,                      0,     _IO_default_xsputn,           7fa42935e3d0,                      1
                     0x7fa43e426d20,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
                     0x7fa4292f1517,                      1,                      1,                      1,                      0,                  .text,           7fa4292f1360,                      3
                     0x7fa4292f1517,                      1,                      1,                      1,                      0,                  .text,           7fa4292f1360,                      3
                     0x7fa42935dec8,                      1,                      1,                      1,                      0,            __underflow,           7fa42935deb0,                      0
                     0x7fa43e4273b8,                      1,                      1,                      1,                      0,                  .text,           7fa43e423f10,                      3
